<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20160615,120000,129.2500000,129.7900000,128.5700000,129.3400000,7811490
SBER,60,20160615,130000,129.3400000,129.9000000,129.3400000,129.4000000,6361690
SBER,60,20160615,140000,129.4200000,129.7500000,129.0500000,129.7200000,3184180
SBER,60,20160615,150000,129.6700000,129.8300000,128.8300000,129.1200000,14012730
SBER,60,20160615,160000,129.1500000,129.1500000,128.4000000,128.8200000,7339620
SBER,60,20160615,170000,128.8200000,130.2300000,128.7400000,129.7300000,9943950
SBER,60,20160615,180000,129.7400000,130.1400000,129.5000000,129.8900000,5424090
SBER,60,20160616,100000,129.0000000,129.2400000,127.4100000,127.5400000,14649500
SBER,60,20160616,110000,127.5400000,127.5400000,126.1800000,126.3300000,12619240
SBER,60,20160616,120000,126.3000000,126.9500000,125.8500000,126.8600000,8430650
SBER,60,20160616,130000,126.8600000,126.9300000,126.3100000,126.8300000,3081550
SBER,60,20160616,140000,126.8300000,127.1500000,126.3800000,126.8500000,3730410
SBER,60,20160616,150000,126.8800000,126.9900000,126.0000000,126.6500000,6148970
SBER,60,20160616,160000,126.6500000,126.9100000,125.8800000,126.0000000,4673830
SBER,60,20160616,170000,126.0400000,126.6100000,125.9000000,126.3900000,5108870
SBER,60,20160616,180000,126.4300000,127.4700000,126.2600000,127.1000000,8643010
SBER,60,20160617,100000,128.6000000,129.6700000,128.4900000,129.0500000,13027780
SBER,60,20160617,110000,129.0800000,130.3900000,129.0500000,130.2600000,10041010
SBER,60,20160617,120000,130.2600000,130.7500000,129.9400000,130.1700000,6998680
SBER,60,20160617,130000,130.1900000,130.5000000,129.8100000,129.8800000,4003640
SBER,60,20160617,140000,129.9200000,130.3000000,129.6500000,130.2300000,4720030
SBER,60,20160617,150000,130.2300000,130.7100000,130.0700000,130.1100000,4490610
SBER,60,20160617,160000,130.1000000,130.2300000,129.8200000,130.0000000,5071210
SBER,60,20160617,170000,129.9900000,130.3600000,129.7900000,130.2900000,4334840
SBER,60,20160617,180000,130.3200000,130.4500000,128.7000000,128.7000000,14011900
SBER,60,20160620,100000,132.4500000,132.7400000,131.2000000,132.2900000,11745930
SBER,60,20160620,110000,132.2900000,133.2000000,132.1500000,133.1000000,7485840
SBER,60,20160620,120000,133.1000000,133.4800000,132.7900000,133.2000000,6657640
SBER,60,20160620,130000,133.2000000,133.4400000,132.9600000,133.0000000,3328270
SBER,60,20160620,140000,133.0100000,133.4300000,132.9600000,133.2200000,1824770
SBER,60,20160620,150000,133.2400000,133.3500000,132.6500000,132.7800000,2632770
SBER,60,20160620,160000,132.7800000,132.9100000,132.6000000,132.9000000,2263770
SBER,60,20160620,170000,132.8400000,133.1800000,131.5500000,132.5700000,7501600
SBER,60,20160620,180000,132.5700000,132.7400000,131.8400000,132.1300000,4189810
SBER,60,20160621,100000,132.1000000,132.1000000,129.9400000,130.9100000,11484700
SBER,60,20160621,110000,130.9400000,131.4000000,130.8000000,131.0500000,4667350
SBER,60,20160621,120000,131.0800000,132.8500000,131.0000000,132.7300000,7391730
SBER,60,20160621,130000,132.7300000,132.9800000,132.3100000,132.4000000,5132780
SBER,60,20160621,140000,132.4100000,132.4400000,131.2400000,131.3100000,4573610
SBER,60,20160621,150000,131.3500000,131.9100000,131.0900000,131.7700000,3468910
SBER,60,20160621,160000,131.7700000,131.9400000,131.3000000,131.6700000,1721430
SBER,60,20160621,170000,131.6900000,133.2900000,131.3800000,133.2900000,6073050
SBER,60,20160621,180000,133.2900000,133.4300000,132.8200000,133.3900000,7884300
SBER,60,20160622,100000,134.6400000,135.5100000,134.1000000,134.3600000,10866910
SBER,60,20160622,110000,134.3400000,134.5000000,133.5100000,134.0900000,4318690
SBER,60,20160622,120000,134.1000000,135.1400000,133.8700000,135.0500000,4547040
